irn,DesLabel0(+ group='1'),DesDescription0(+ group='1'),DesBiblioRef0(+ group='1').irn,DesLabel0(+ group='2'),DesDescription0(+ group='2'),DesBiblioRef0(+ group='2').irn,DesLabel0(+ group='3'),DesDescription0(+ group='3'),DesBiblioRef0(+ group='3').irn,DesLabel0(+ group='4'),DesDescription0(+ group='4'),DesBiblioRef0(+ group='4').irn,DesLabel0(+ group='5'),DesDescription0(+ group='5'),DesBiblioRef0(+ group='5').irn,DesLabel0(+ group='6'),DesDescription0(+ group='6'),DesBiblioRef0(+ group='6').irn,DesLabel0(+ group='7'),DesDescription0(+ group='7'),DesBiblioRef0(+ group='7').irn
313164,Type Description,"
Ann. Mag. Nat. Hist., ser. 7, 12:634.
",41852,Description,"The ears are joined at the base, but the only way to positively identify this genus is to examine the last tooth in the upper toothrow, which is reduced.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:318, 327-333.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 135.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:470-472, 481-482.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Cameroon, Efulen.
",41852,Measurements, Head and body: 68-76 mmForearm Length: 38-41 mmWeight: 22-29 g,41852,,,,,,,,,
313851,Type Description,"
Arch. Naturgesch., 63(1):84.
",41852,Description,"The large size, long ears and distinctive colouration characterize this beautiful bat.",41852,Type Locality,"
Tanzania, W of Tanga, SE Usambara Mtns, Magrotto Plantation.
",41852,Distribution,"Distributed over the eastern half of Africa, from the eastern Congo to Kenya and south to Angola and Mozambique and also occurring Madagascar, Otomops martiensseni is found in all ecotypes from semi-arid habitats to montane forests, from sea-level to 2,000 m. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 88-110 mmTail length: 44-50 mmEar length: 40 mmForearm Length: 62-72 mmWeight: 31-38.5 g,41852,,,,,,
315315,Type Description,"
Descrip. De L'Egypte, 2:128.
",41852,Description,"Look for the large emargination at the front of the palate to distinguish this bat.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:318, 321-322.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 134.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:470-472, 479-481.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Egypt, Giza (resticted by Koopman, 1975).
",41852,Measurements, Head and body: 65-70 mmTail length: 30-45 mmForearm Length: 45-53 mm,41852,,,,,,,,,
315318,Type Description,"
Ann. Mag. Nat. Hist., ser. 7, 12:501.
",41852,Description,"Look for the large emargination at the front of the palate to distinguish this bat.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:318, 321-322.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 134.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:470-472, 479-481.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Madagascar, Betsilo, Fianarantsoa.
",41852,Measurements, Head and body: 85 mmTail length: 57 mmForearm Length: 57-62 mm,41852,,,,,,,,,
315324,Type Description,"
Nova Acta Acad. Caes. Leop.-Carol., Halle, 29(8):4, 11.
",41852,Description,"Look for the large emargination at the front of the palate to distinguish this bat.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:318, 321-322.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 134.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:470-472, 479-481.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Eritrea, Keren.
",41852,Measurements, Head and body: 86 mmTail length: 61 mmForearm Length: 63-66 mm,41852,,,,,,,,,
313633,Type Description,"
Ann. Mag. Nat. Hist., ser. 7, 12:633.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:189, 220-227.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 124.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:322-323.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Cameroon, Efulen.
",41852,Measurements, Head and body: 48-58 mmEar length: 25-33 mmForearm Length: 36-47 mmWeight: 8-10 g,41852,,,,,,,,,
313634,Type Description,"
Ann. Mag. Nat. Hist., ser. 8, 10:547.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:189, 220-227.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 124.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:322-323.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Kenya, Kitui.
",41852,Measurements, Head and body: 32-50 mmEar length: 17-25 mmForearm Length: 36-45 mmWeight: 6-10 g,41852,,,,,,,,,
313636,Type Description,"
Monatsb. K. Preuss. Akad. Wiss. Berlin, 1865:358.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.",41852,Type Locality,"
'Guinea'.
",41852,Distribution,"Generally found in forests and forest relics, Nycteris grandis can be found throughout tropical Africa from Guinea in the west to East Africa. (Kingdon, 1984)",41852,Measurements, Total length: 144-158 mmHead and body: 63-93 mmTail length: 64-74 mmHindfoot length: 15-16 mmEar length: 26-35 mmForearm Length: 57-66 mmWeight: 25-36 g,41852,,,,,,
313637,Type Description,"
Die Saugethiere, 1:169, 188.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.",41852,Type Locality,"
Senegal.
",41852,Distribution,"Very common and widely distributed throughout Africa except for open desert, Nycteris hispida prefers to forge at low levels in areas that are dry open country to moist vegetation types like dense undergrowth, reeds, thickets, mangroves, woodlands, marsh and papyrus swamps. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 93-104 mmHead and body: 32-50 mmTail length: 64-74 mmHindfoot length: 15-16 mmEar length: 17-25 mmForearm Length: 36-45 mmWeight: 6-10 g,41852,,,,,,
313638,Type Description,"
Arch. Sci. Geneve, 12:218.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:189, 220-227.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 124.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:322-323.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Côte d'Ivoire, Adiopodoume.
",41852,Measurements, Head and body: 48-58 mmEar length: 25-33 mmForearm Length: 36-47 mmWeight: 8-10 g,41852,,,,,,,,,
313640,Type Description,"
Monogr. Asiat. Chiroptera, p. 80.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.",41852,Type Locality,"
Sierra Leone.
",41852,Distribution,"Nycteris macrotis is found mostly in the moist locales of the equatorial forests and woodland belts of Africa, from Senegal in the west to Tanzania in the East Down through to northern Angola and Mozambique. (Kingdon, 1984)",41852,Measurements, Total length: 114 mmHead and body: 52-63 mmTail length: 64-74 mmHindfoot length: 15-16 mmEar length: 26-34 mmForearm Length: 45-50 mmWeight: 9-14 g,41852,,,,,,
313643,Type Description,"
Ann. Mag. Nat. Hist., ser. 8, 10:547.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:189, 220-227.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 124.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:322-323.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Equatorial Guinea, Rio Muni, Benito River.
",41852,Measurements, Head and body: 39-45 mmEar length: 20-22 mmForearm Length: 32-36 mmWeight: 5-8 g,41852,,,,,,,,,
313645,Type Description,"
Descrip. De L'Egypte, 2:119.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.",41852,Type Locality,"
Egypt, Thebes (Luxor).
",41852,Distribution,"Nycteris thebaica is most common in open country throughout Africa south of the Sahara and up to high altitudes in shelters like caves, rock holes, ruins and roofs on houses and huts. (Kingdon, 1984)",41852,Measurements, Total length: 104-113 mmHead and body: 44-77 mmTail length: 51-56 mmHindfoot length: 11 mmEar length: 28-37 mmForearm Length: 42-52 mmWeight: 13-28 g,41852,,,,,,
313648,Type Description,"
Ann. Mag. Nat. Hist., ser. 8, 13:563.
",41852,Description,"Look for very long ears, a longitudinal slit on the muzzle and a ""Y"" shaped tip to the tail.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:220-227.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 124.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:322-323.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Type Locality,"
Zambia, Chilanga.
",41852,Measurements, Head and body: 52-63 mmEar length: 26-34 mmForearm Length: 45-50 mmWeight: 9-14 g,41852,,,,,,,,,
311709,Type Description,"
In Linnaeus, Anim. Kingdom, 1(1):xvii, 91.
",41852,Description,"This large common fruit bat has a striking demarcation between the dark wings and the lighter, pale yellow-brown of the back, shoulders and underside (",41852,Type Locality,"
Senegal (restricted by K. Andersen, 1907).
",41852,Distribution,"Eidolon helvum is widely distributed over the whole of sub-Saharan Africa including in very dry and high montane areas. Eidolon can be very localized. E. helvum forms colonies were vast amounts of fruit are abundant all year round or close to breeding grounds that are typically noisy (near waterfalls or city streets) (Kingdon, 1984, 1997).",41852,Measurements, Head and body: 150-195 mmTail length: 6-20 mmForearm Length: 110-135 mmWeight: 250-311 g,41852,,,,,,
311783,Type Description,"
Ogilby, W. 1835. Descriptions of Mammalia and birds from the Gambia. Proceedings of the Zoological Society of London, 1835:97-105.
",41852,Description,"Like all Epomophorus, this species is a brownish fawn or light brown with white patches of fur at the base of the ears.  The ventral fur is paler than the dorsal and varies in color from the light brown to white.  The males have scented white tufts on the shoulders used to attract females.  Of the Epomophorus that occur in Tanzania, this species is one of the largest.  It is one of only two species within the genus with a forearm length that is greater than 67 mm.  The specimens from Tanzania are referred to as E. g. crypturus, and some people treat this group as a separate species, (E. crypturus) (Bergmans, 1988, 1997; Boulay and Robbins, 1989).E. gambianus has an elongated skull due to the long rostrum and palate (",41852,Type Locality,"
Gambia, Banjul (restricted by Kock et al., 2002).
",41852,Distribution,"Epomophorus gambianus is found throughout savannas, woodlands and forest mosaics from Senegal in the west to Ethiopia, Kenya, and Tanzania in the east and south to South Africa but is not very common at higher altitudes (Kingdon, 1984, 1997) (Wilson and Reeder, 2005). Bergmans (1988) identified specimens of this species from Tanzania in only the southeastern corner of the country.Ecological Notes:Found in savannahs, woodlands, and along the forest edge, Epomophorus gambianus is like many bats, it is responsible for the dispersal of seeds and pollination of flowers, and so is an important part of the ecosystem in which it lives (Kingdon, 1984).  E. gambianus roosts either in small group of 12-20 or larger groups of 50 or more (Boulay and Robbins, 1989). They typically perch in various trees like banana, mango and palm, but can also be seen roosting under the eaves of tall buildings (Kingdon, 1984, 1997)Key Reference:1. Bergmans, W., 1988. Taxonomy and biogeography of African fruit bats (Mammalia, Megachiroptera). 1. General introduction; material and methods; results: the genus Epomophorus Bennett, 1836. Beaufortia 38, 75-146.2. Bergmans, W. 1997. Taxonomy and biogeography of African fruit bats (Mammalia, Megachiroptera). 5. The genera Lissonycteris  Anderson, 1912, Myonycteris  Matschie, 1899 and Megaloglossus  Pagenstecher, 1885; general remarks and conclusions; annex: Key to all species. Beaufortia 47: 11-90.3. Boulay, M. C. and C. B. Robbins 1989.  Epomophorus gambianus. Mammalian Species, 344:1-5.4. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:153-156.5. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 115-116.6. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:258-260, 281-282.7. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Comparisons,"Compared to the other species of Epomophorus that occur in Tanzania, there is only one other species, E. wahlbergi, that has a forearm length as long as E. gambianus.   There are two transverse palatal ridges behind the cheekteeth on E. gambianus, but only one transverse ridge behind the cheekteeth on E. wahlbergi (Bergmans, 1988, 1997; Boulay and Robbins, 1989).",41852,Measurements, Head and body: 130-160 mmForearm Length: 79-85 mmWeight: 40-120 g,41852,,,
311785,Type Description,"
Monogr. Mamm., 2:83.
",41852,Description,"Like all Epomophorus, this species is light brown with white patches of fur at the base of the ears.  The males have scented white tufts on the shoulders used to attract females.  Of the Epomophorus that occur in Tanzania, this species is one of two that have a forearm length of less than 75 mm and more than one transverse ridge behind the last upper cheekteeth.",41852,Type Locality,"
Sudan, Blue Nile Prov., Sennar.
",41852,Distribution,"Mainly found in savannas, woodlands and forested mosaics, Epomophorus labiatus is distributed from Nigeria in the west through Ethiopia in the east and down throughout Kenya, Tanzania, and Malawi. (Kingdon, 1984, 1997) Bergmans (1988) identified specimens of this species in western Tanzania only, and questioned the true identity of a specimen from Tabora.",41852,Comparisons,"Only E. minor (including E. minimus) has a forearm less than 75 mm and more than one transverse ridge behind the last upper cheekteeth.  Comparisons between these two species follow:  the forearm length is greater than, or equal to 67 mm in male, 64 mm in female labiatus (forearm length is less than, or equal to 69 mm in male, 68 mm in female minor); the greatest length of the cranium is greater than, or equal to 40 mm in male, 38 in female labiatus (the greatest length of the cranium is less than, or equal to 42 mm in male, 40 in female minor.  There is debate as to whether labiatus and minor are the same species.  More specimens are needed to resolve this question.",41852,Measurements, Head and body: 95-125 mmForearm Length: 55-70 mmWeight: 38-65 g,41852,,,
311787,Type Description,"
Proc. Zool. Soc. Lond., 1879:715 [1880].
",41852,Description,"Like all Epomophorus, this species is light brown with white patches of fur at the base of the ears.  The males have scented white tufts on the shoulders used to attract females.  Of the Epomophorus that occur in Tanzania, this species is one of two that have a forearm length of less than 75 mm and more than one transverse ridge behind the last upper cheekteeth.",41852,Type Locality,"
Zanzibar.
",41852,Distribution,"Epomophorus minor is found throughout savannas, woodlands and forest mosaics from the Sudan to Somali in the north down to Zambia, Malawi, and Tanzania in the south. (Kingdon, 1997) (Wilson and Reeder, 2005) Bergmans (1988) identified specimens of this species from a wide variety of localities in Tanzania, but did not record any from northwestern areas (where E. labiatus is known), or the southeastern corner of the country.",41852,Comparisons,"Only labiatus has a forearm less than 75 mm and more than one transverse ridge behind the last upper cheekteeth.  Comparisons between these two species follow:  the forearm length is greater than, or equal to 67 mm in male, 64 mm in female labiatus (forearm length is less than, or equal to 69 mm in male, 68 mm in female minor); the greatest length of the cranium is greater than, or equal to 40 mm in male, 38 in female labiatus (the greatest length of the cranium is less than, or equal to 42 mm in male, 40 in female minor.  There is debate as to whether labiatus and minor are the same species.  More specimens are needed to resolve this question.",41852,Measurements, Head and body: 95-125 mmForearm Length: 55-70 mmWeight: 38-65 g,41852,,,
311788,Type Description,"
Ofv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm, 3(4):118.
",41852,Description,"Like all Epomophorus, this species is light brown with white patches of fur at the base of the ears.  The males have scented white tufts on the shoulders used to attract females.  Of the Epomophorus that occur in Tanzania, this species is one of the largest and most widespread.  It is one of only two species within the genus with a forearm that is greater than 67 mm.",41852,Type Locality,"
South Africa, KwaZulu-Natal Prov., near Durban.
",41852,Distribution,"Not found at altitudes above 2,000 m, Epomophorus wahlbergi , a savanna, woodland, and forest species, is distributed throughout southeastern Africa from Somalia and Kenya in the north down through Tanzania to Angola and northern South Africa. (Kingdon, 1984, 1997) Bergmans (1988) recorded this species in Tanzania in mainly the eastern half of the country.",41852,Comparisons,"Only E. gambianus has a forearm as long, and in that species there is more than one transverse ridge behind the cheekteeth.",41852,Measurements, Total length: 142-170 mmHead and body: 110-175 mmTail length: 4-6 mmHindfoot length: 21-24 mmEar length: 23-25 mmForearm Length: 72-98 mmWeight: 54-120 g,41852,,,
311790,Type Description,"
J. Sci. Math. Phys. Nat. Lisboa, ser. 2, 1:1.
",41852,Description,"Although these bats have muzzles that are blunter than the similar Epomophorus, they are best identified by the nature of the posterior palatal ridges in the soft palate of the mouth.",41852,Type Locality,"
Angola, Benguela, Quindumbo.
",41852,Distribution,"Epomops dobsonii  is found in the forests and forest-woodland mosaics from Angola to Tanzania and Malawi. (Kingdon, 1997)Key Reference:1. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 117.2. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:258-260, 280-281.3. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Measurements, Head and body: 135-180 mmForearm Length: 80-100 mmWeight: 65-158 g,41852,,,,,,
311791,Type Description,"
Proc. Zool. Soc. Lond., 1860:54.
",41852,Description,"Although these bats have muzzles that are blunter than the similar Epomophorus, they are best identified by the nature of the posterior palatal ridges in the soft palate of the mouth.",41852,Type Locality,"
Gabon.
",41852,Distribution,"Epomops franqueti is a typical lowland forest dweller that is distributed from Liberia in the west to Uganda and northern Tanzania in the east down through to Angola in the south. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 140-178 mmForearm Length: 86-100 mmWeight: 78-158 g,41852,,,,,,
312335,Type Description,"
Proc. Acad. Nat. Sci. Phil., p. 157.
",41852,Type Locality,"
Gabon.
",41852,Distribution,"Hypsignathus monstrosus is found throughout the lowland forest zone in heavily shaded forests of almost all types, mangroves, and swamp forests, from Senegal to Uganda and northern Tanzania. (Kingdon, 1984, 1997)Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:166-174.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 116-117.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:258-260, 278-279.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Measurements, Head and body: 170-285 mmForearm Length: 118-140 mmWeight: 218-450 g,41852,,,,,,,,,
312599,Type Description,"
J. Sci. Math. Phys. Nat. Lisboa, ser. 2, 5:133.
",41852,Description,"This species is brown, but the males have a collar of stiff hairs that often has an orange tint to it.  The flight membrane is attached to the second toe.  The cheekteeth are short and broad.",41852,Type Locality,"
Angola, Quibula, Cahata, Pungo Andongo.
",41852,Distribution,"In Tanzania, Lissonycteris angolensis is found in a variety of forest environments. This species is found throughout tropical Africa, from Senegal in the east following the southwestern coastline by the equator to the Cameroons and down through northern Angola over to Southern Kenya and Tanzania in East Africa, but is commonest in forests or wooded areas from sea-level to 2,200 m. (Kingdon, 1984, 1997)",41852,Comparisons,"L. angolensis resembles Myonycteris relicta, but is larger (the forearm is greater than 65 mm in Lissonycteris and less than that for Myonycteris).  Lissonycteris also resembles Rousettus aegypticatus and R. lanosus.  The former has sparser hair on the back, no stiff collar in males and the flight membrane attaches to the first toe.  The latter has cheekteeth that are narrower than those of Lissonycteris.",41852,Measurements, Total length: 131-140 mmHead and body: 105-135 mmTail length: 9-25 mmHindfoot length: 18-24 mmEar length: 24-25 mmForearm Length: 65-91 mmWeight: 650-910 g,41852,,,
313007,Type Description,"
Monatsb. K. Preuss. Akad. Wiss. Berlin, 1867:870 [1868].
",41852,Description,This small epauletted bat is found in the northwestern part of Tanzania near Lake Victoria.,41852,Type Locality,"
Nigeria, Yoruba (see Bergmans [1989] and Kock et al. [2002]).
",41852,Distribution,"Micropteropus pusillus, is found throughout woodlands, savannas, and forest mosaics outside the main lowland forest zone of Africa, from Senegal in the west to southern Sudan, East Africa and Angola. (Kingdon, 1984, 1997)Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:159-161.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 118.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:258-260, 282-283.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Measurements, Head and body: 75-105 mmTail length: 0-3 mmForearm Length: 48-57 mmWeight: 25-35 g,41852,,,,,,
313306,Type Description,"
Zool. Meded. Rijksmus. Nat. Hist. Leiden, 14:126.
",41852,Description,"This bat resembles Rousettus, but is smaller.  It is poorly known, but recent faunal surveys are contributing to our knowledge of its natural history.",41852,Type Locality,"
Kenya, Coast Prov., Shimba Hills, Lukore area, Mukanda River.
",41852,Distribution,"Distributed throughout Tanzania, Kenya and the Zimbabwe border with Mozambique, Myonycteris relicta is found in or close to rainforests which include savanna and forest mosaics were the forest has or is becoming vestigial. (Kingdon, 1997) (Wilson and Reeder, 2005)Key Reference:1. Bergmans, W. 1997. Taxonomy and biogeography of African fruit bats (Mammalia, Megachiroptera). 5. The genera Lissonycteris Anderson, 1912, Myonycteris Matschie, 1899 and general remarks and conclusions; annex: Key to all species. Beaufortia, 47:11-90.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 115-116.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:258-260, 263-264.4. Simmons, N.B. 2005. Order Chiroptera, pp. 312-529. In Wilson, D. E., and D. M. Reeder, eds., Mammal Species of the World: A Taxonomic and Geographic Reference, 3rd edition. Johns Hopkins University Press, Baltimore.

 
",41852,Measurements, Head and body: 85-165 mmTail length: 4-13 mmForearm Length: 55-70 mmWeight: 35-80 g,41852,,,,,,
240681,Type Description,"
Bull. Sci. Soc. Philom. Paris, ser. 7, 2:221.
",41852,Description,"The head, shoulders, and belly are yellow and the ears are long and pointed (greater than 27 mm). The wings and back color are black with the back fur having a light sprinkle of greyish-white glossy hairs mixed into the black fur. In Tanzania, this species is only known from Mafia Island. (Kingdon, 1984; Bergman, 1990)
",41852,Type Locality,"
Seychelle Isls, Mahe Isl.
",41852,Distribution,"Pteropus seychellensis  is restricted to the moist tropical areas on the Seychelle Islands, the Comoros Islands and Mafia Island. (Kingdon, 1984, 1997; Simmons, 2005) In Tanzania, this species is only known from Mafia Island, and the subspecies is called P. seychellensis comorensis.  Chole Island is a good place to see these bats.  Strangely, this species has never been recorded on Unguja Island, or mainland Tanzania.
",41852,Comparisons,"The only other Pteropus found in Tanzania is P. voeltzkowi, which is only known from Pemba Island.  P. seychellensis has longer ears (gretaer than 27 mm) when compared to the shorter ears of P. voeltzkowi (shorter than 27 mm) (",41852,Measurements, Head and body: 224-231 mmEar length: 31-32 mmForearm Length: 151-157 mmWeight: 400-650 g,41852,,,
314538,Type Description,"
Sitzb. Ges. Naturf. Fr. Berlin, p. 486.
",41852,Description,"The head and shoulders of Pteropus voeltzkowi are a deep red color while the belly is orange.  The ears are pointed and short (less than 27 mm). The wings and back color are black with the back fur having a mixture of a few greyish-white or silvery hairs. The species is only known from Pemba Island. (Kingdon, 1984; Bergman, 1990)
",41852,Type Locality,"
Tanzania, Pemba Isl, Fufuni.
",41852,Distribution,"Pteropus voeltzkowi, is restricted to the moist tropical areas on Pemba Island. (Kingdon, 1984, 1997; Simmons, 2005)  Strangely, this species has never been recorded on Unguja Island or mainland Tanzania. Bergmans (1990) clarifies the locality ""Matanga-Mgogoni"" cited in Kingdon (1984) as ""along the road between Matangatuani and Mgogoni"".
",41852,Comparisons,"The only other Pteropus found in Tanzania is P. seychellensis comorensis, which is only known from Mafia Island.  P. voeltzkowi has shorter ears (shorter than 27 mm) when compared to the longer ears of P. seychellensis (greater than 27 mm) (",41852,Measurements, Head and body: 240-265 mmEar length: 21-23 mmForearm Length: 151-161 mmWeight: 430-610 mm,41852,,,
